CUST_ID,COMPANY NAME,2015 PRO XTRA SPEND,TRADE,ZIP
1,Looon Systems,"$1,081,934.14 ",Commercial Property Managers,07003
2,Dotster,"$2,515,006.16 ",Property Investor: Acquisition and Repair/ Renovation; Flipper,44146
3,Yeddscro Systems,"$3,795,092.59 ",Electrician,45840
4,PlurSpace,"$2,902,622.09 ",Plumber,06516
5,Twisauce,"$1,281,963.51 ",Manufacturing,54701
6,Vertbox,"$1,156,031.47 ",Commercial Construction: Offices & Commercial Buildings,55033
7,Dotga Collective,"$1,047,103.16 ",Remodeler,01845
8,livester,"$1,371,684.01 ",Multi-Family Builder,32937
9,Youbo Labs,"$1,573,984.75 ",Property Management: Maintenance and Repair,07501
10,xobee,"$3,745,308.50 ",Remodeler,36532
11,Rasense Collective,"$1,771,696.89 ",Manufacturing,55303
12,jala,"$1,886,670.03 ","Specialty Restoration: Water Mediation, Natural Disaster and Fire Damage Repair",14850
13,YouZing,"$2,055,253.32 ",Remodeler,06824
14,Rageo,"$1,623,121.34 ","Specialty Restoration: Water Mediation, Natural Disaster and Fire Damage Repair",07076
15,PlurStar,"$1,017,759.68 ","Specialty Restoration: Water Mediation, Natural Disaster and Fire Damage Repair",75604
16,Mykee Labs,"$1,830,332.54 ",Electrician,01923
17,ibiba,"$673,800.06 ",Remodeler,68801
18,Inifish,"$504,461.26 ",Commercial Construction: Offices & Commercial Buildings,46322
19,BoZing,"$599,466.85 ",Remodeler,21113
20,Jamee,"$521,814.22 ",Fence Installer,60451
21,Glifspace,"$945,086.57 ",Remodeler,54401
22,Cloudify Systems,"$903,922.70 ",Remodeler,46901
23,Truzing Collective,"$977,680.95 ",Electrician,22180
24,Vertsauce Labs,"$790,117.18 ",Remodeler,11720
25,trunet,"$700,432.21 ",Commercial Construction: Offices & Commercial Buildings,08401
26,QuirbBee,"$721,669.81 ",Property Management: Maintenance and Repair,38671
27,Rabo Media,"$628,326.77 ","Specialty Restoration: Water Mediation, Natural Disaster and Fire Damage Repair",43612
28,cloudzizzl,"$578,283.60 ",Commercial Construction: Offices & Commercial Buildings,11710
29,GlifDoo,"$517,367.15 ",Electrician,33020
30,YouKee,"$826,169.05 ",Property Management: Maintenance and Repair,23059
31,Janet,"$599,132.01 ","Specialty Restoration: Water Mediation, Natural Disaster and Fire Damage Repair",04401
32,ILy,"$526,587.72 ",Property Management: Maintenance and Repair,11756
33,bogo,"$665,767.83 ",Remodeler,11550
34,IniSter,"$652,658.52 ",Remodeler,20901
35,Xogo Designs,"$923,989.57 ",Painter,49684
36,Loonico Labs,"$640,513.07 ",Property Investor: Acquisition and Repair/ Renovation; Flipper,23059
37,Trumo,"$673,800.06 ",Remodeler,20170
38,blingbo,"$700,432.21 ",Commercial Construction: Offices & Commercial Buildings,27012
39,Adkee,"$799,365.61 ",Electrician,18944
40,Rala,"$761,692.83 ",Commercial Construction: Offices & Commercial Buildings,48237
41,kabfish,"$689,284.95 ",Property Investor: Acquisition and Repair/ Renovation; Flipper,03820
42,Bodoo Media,"$577,394.77 ",Government,48348
43,loohop,"$854,728.68 ",Non-Profit Organizations,17402
44,LiveSy,"$660,744.47 ",Single Family Homebuilder,14424
45,Adkee,"$520,677.79 ",Multi-Family Builder,11784
46,Remnit,"$589,372.19 ",Painter,15206
47,IniMee,"$681,898.76 ",Plumber,08050
48,Smugbo Systems,"$535,079.88 ",Property Management: Maintenance and Repair,14120
49,progo,"$329,164.18 ","Institutional: Schools, Universities, Hospitals",90278
50,Raify,"$359,352.69 ",Manufacturing,34952
51,SkoBo,"$353,414.44 ",Painter,44122
52,scroton,"$353,839.75 ",Roofer,34116
53,Plurbo,"$337,676.86 ",Government,08205
54,Youhop Labs,"$297,077.98 ",Housing Authority,61604
55,adly,"$305,892.31 ",Non-Profit Organizations,11368
56,Fildoodle,"$487,926.26 ","Institutional: Schools, Universities, Hospitals",30180
57,ISense,"$251,231.26 ",Single Family Homebuilder,10451
58,Rembox,"$349,506.04 ","Specialty Restoration: Water Mediation, Natural Disaster and Fire Damage Repair",14450
59,Vertkee Labs,"$341,985.79 ",Commercial Construction: Offices & Commercial Buildings,15701
60,YoNico,"$267,303.46 ",Property Investor: Acquisition and Repair/ Renovation; Flipper,50701
61,Truyou,"$264,924.60 ",Property Management: Maintenance and Repair,46530
62,Claxla Collective,"$268,014.50 ",Remodeler,10301
63,YeddZizzl,"$5,156.22 ",Remodeler,75115
64,dotjing,"$57,522.29 ",Painter,27028
65,smugqa,"$105,944.49 ",Single Family Homebuilder,32955
66,Twistar Labs,"$9,271.57 ",Roofer,49423
67,Prockr Designs,"$71,262.98 ",Multi-Family Builder,35124
