Id,CustomerId,Category
1,1,seasonal
2,1,bath
3,1,appliance
4,2,kitchen
5,3,bath
6,4,kitchen
7,5,storage
8,5,storage
9,5,building materials
10,6,plumbing
11,6,building materials
12,7,electrical
13,7,seasonal
14,8,heating and cooling
15,8,plumbing
16,9,doors and windows
17,10,lighting and fans
18,10,electrical
19,10,electrical
20,11,outdoor
21,12,kitchen
22,13,bath
23,14,heating and cooling
24,14,electrical
25,14,building materials
26,15,bath
27,16,plumbing
28,16,storage
29,17,home maintenance
30,17,decor
31,17,seasonal
32,18,decor
33,18,doors and windows
34,18,doors and windows
35,19,doors and windows
36,19,doors and windows
37,19,outdoor
38,20,doors and windows
39,20,flooring
40,21,outdoor
41,22,outdoor
42,23,flooring
43,24,flooring
44,24,plumbing
45,25,bath
46,26,doors and windows
47,26,heating and cooling
48,26,lighting and fans
49,27,doors and windows
50,28,flooring
51,28,heating and cooling
52,29,seasonal
53,29,electrical
54,30,decor
55,31,plumbing
56,31,heating and cooling
57,32,home maintenance
58,32,flooring
59,32,lumber
60,33,flooring
61,34,appliance
62,35,heating and cooling
63,36,kitchen
64,37,decor
65,37,lighting and fans
66,38,bath
67,38,plumbing
68,38,bath
69,39,heating and cooling
70,39,heating and cooling
71,39,outdoor
72,40,heating and cooling
73,40,bath
74,40,appliance
75,41,appliance
76,42,doors and windows
77,42,home maintenance
78,42,seasonal
79,43,plumbing
80,43,bath
81,43,lumber
82,44,outdoor
83,45,storage
84,45,home maintenance
85,46,decor
86,46,kitchen
87,46,bath
88,47,lumber
89,47,appliance
90,47,kitchen
91,48,lumber
92,48,flooring
93,49,home maintenance
94,49,home maintenance
95,49,lighting and fans
96,50,doors and windows
97,50,appliance
98,51,bath
99,51,seasonal
100,51,decor
101,52,heating and cooling
102,52,doors and windows
103,53,electrical
104,53,kitchen
105,54,seasonal
106,54,home maintenance
107,54,flooring
108,55,seasonal
109,56,building materials
110,56,doors and windows
111,57,home maintenance
112,57,electrical
113,58,flooring
114,59,outdoor
115,59,doors and windows
116,60,bath
117,60,outdoor
118,61,storage
119,61,flooring
120,62,storage
121,62,lumber
122,62,kitchen
123,63,kitchen
124,63,building materials
125,64,plumbing
126,65,appliance
127,65,flooring
128,65,bath
129,66,electrical
130,67,flooring
131,68,lighting and fans
132,68,decor
133,68,heating and cooling
134,69,outdoor
135,69,decor
136,70,decor
137,71,bath
138,72,heating and cooling
139,73,heating and cooling
140,73,home maintenance
141,73,flooring
142,74,lumber
143,75,home maintenance
144,76,bath
145,76,storage
146,77,appliance
147,77,lighting and fans
148,78,doors and windows
149,79,doors and windows
150,80,bath
151,80,decor
152,80,decor
153,81,building materials
154,81,bath
155,81,storage
156,82,seasonal
157,82,plumbing
158,82,electrical
159,83,building materials
160,83,flooring
161,84,doors and windows
162,84,building materials
163,84,seasonal
164,85,heating and cooling
165,86,heating and cooling
166,86,storage
167,87,flooring
168,87,heating and cooling
169,87,lumber
170,88,flooring
171,88,heating and cooling
172,89,electrical
173,90,appliance
174,91,home maintenance
175,91,seasonal
176,92,building materials
177,93,storage
178,93,outdoor
179,93,home maintenance
180,94,storage
181,94,lighting and fans
182,95,appliance
183,95,doors and windows
184,95,bath
185,96,electrical
186,97,seasonal
187,97,outdoor
188,97,heating and cooling
189,98,kitchen
190,99,electrical
191,100,lumber
192,100,plumbing
193,100,decor
194,101,heating and cooling
195,101,bath
196,101,plumbing
197,102,flooring
198,102,flooring
199,103,lighting and fans
200,103,doors and windows
201,103,storage
202,104,heating and cooling
203,104,seasonal
204,104,building materials
205,105,seasonal
206,106,building materials
207,106,appliance
208,106,lumber
209,107,bath
210,107,appliance
211,107,kitchen
