Id,Keyword,Category,Url
1,seasonal,seasonal,http://www.homedepot.com/c/how_to_make_an_ornament_mirror_HT_PG_DC
2,holiday garland & wreaths,seasonal,http://www.homedepot.com/c/the_perfect_holiday_garland_and_wreaths_HT_BG_SE
3,garlands,seasonal,http://www.homedepot.com/c/the_perfect_holiday_garland_and_wreaths_HT_BG_SE
4,wreaths,seasonal,http://www.homedepot.com/c/the_perfect_holiday_garland_and_wreaths_HT_BG_SE
5,garland decorations,seasonal,http://www.homedepot.com/c/the_perfect_holiday_garland_and_wreaths_HT_BG_SE
6,christmas wreath,seasonal,http://www.homedepot.com/c/the_perfect_holiday_garland_and_wreaths_HT_BG_SE
7,holiday decorations,seasonal,http://www.homedepot.com/c/the_perfect_holiday_garland_and_wreaths_HT_BG_SE
8,seasonal,seasonal,http://www.homedepot.com/c/the_perfect_holiday_garland_and_wreaths_HT_BG_SE
9,seasonal,seasonal,http://www.homedepot.com/c/how_to_make_ornament_clusters_HT_PG_DC
10,seasonal,seasonal,http://www.homedepot.com/c/how_to_find_the_right_artificial_tree_for_you_HT_PG_DC
11,seasonal,seasonal,http://www.homedepot.com/c/how_to_make_an_ornament_tree_HT_PG_DC
12,holiday lighting,seasonal,http://www.homedepot.com/c/holiday_lighting_HT_BG_LF
13,lights,seasonal,http://www.homedepot.com/c/holiday_lighting_HT_BG_LF
14,christmas lights,seasonal,http://www.homedepot.com/c/holiday_lighting_HT_BG_LF
15,holiday lights,seasonal,http://www.homedepot.com/c/holiday_lighting_HT_BG_LF
16,christmas light decorations,seasonal,http://www.homedepot.com/c/holiday_lighting_HT_BG_LF
17,lighting,seasonal,http://www.homedepot.com/c/holiday_lighting_HT_BG_LF
18,fans,seasonal,http://www.homedepot.com/c/holiday_lighting_HT_BG_LF
19,decor,seasonal,http://www.homedepot.com/c/christmas_lights_infographic_HT_BG_DC
20,seasonal,seasonal,http://www.homedepot.com/c/how_to_make_a_monogram_wreath_HT_PG_DC
21,artificial christmas trees,seasonal,http://www.homedepot.com/c/buying_guide_how_to_shop_for_an_artificial_christmas_tree_HT_BG_SE
22,placement of artificial christmas trees,seasonal,http://www.homedepot.com/c/buying_guide_how_to_shop_for_an_artificial_christmas_tree_HT_BG_SE
